filenames;BLx;BLy;TLx;TLy;BRx;BRy;TRx;TRy
bg04-magazine001-f122.jpg;659.988;371.966;1246.74;492.379;504.872;759.722;1159.65;925.426
bg02-patent003-f180.jpg;952.318;738.669;846.583;272.625;1355.14;666.645;1198.49;218.35
bg04-patent002-f41.jpg;670.007;342.083;1305.81;411.28;567.768;735.911;1335.06;819.827
bg01-paper004-f92.jpg;1161.58;767.505;970.12;211.442;1615.22;682.558;1357.42;174.389
bg05-patent003-f56.jpg;691.226;797.271;880.536;207.109;1201.2;924.34;1319.2;293.589
bg05-tax001-f9.jpg;787.654;879.351;643.667;235.714;1301.76;764.119;1092.13;170.761
bg01-paper002-f15.jpg;990.56;841.627;705.407;310.985;1385.02;663.593;1072.81;201.452
bg01-tax005-f179.jpg;579.82;793.854;592.1;267.185;1040.07;761.225;981.418;248.427
bg03-datasheet002-f146.jpg;852.775;727.556;792.149;232.595;1300.61;683.453;1168.6;210.355
bg05-tax002-f58.jpg;659.213;738.642;705.154;119.159;1171.56;791.934;1135.06;208.557
bg03-letter004-f54.jpg;830.185;832.951;757.42;416.999;1267.8;771.903;1104.26;385.928
bg04-magazine001-f62.jpg;887.524;342.383;1489.32;448.487;787.455;716.015;1487.68;850.631
bg01-letter005-f10.jpg;593.127;705.111;829.398;279.713;996.337;845.545;1174.83;375.658
bg01-paper005-f38.jpg;590.977;807.639;547.843;251.156;1071.12;737.533;956.246;206.846
bg02-paper001-f179.jpg;947.657;734.084;892.666;320.777;1388.21;696.31;1245.24;296.109
bg02-magazine004-f215.jpg;1000.06;749.962;912.152;267.982;1431.23;704.507;1274.09;243.145
bg03-tax003-f81.jpg;845.712;809.793;851.101;214.922;1334.07;802.892;1273.23;211.323
bg04-paper005-f126.jpg;1577.18;697.307;768.595;773.231;1468.6;205.29;755.052;286.78
bg01-magazine004-f144.jpg;421.563;841.311;497.133;143.47;1030.77;825.391;998.05;143.977
bg04-tax001-f11.jpg;788.637;385.158;1421.33;423.578;827.151;886.125;1558.1;865.079
bg01-tax003-f2.jpg;850.477;847.983;760.429;300.025;1293.72;780.629;1142.38;262.847
bg03-patent004-f29.jpg;874.913;777.152;775.563;242.699;1371.3;720.142;1179.63;227.859
bg01-patent001-f163.jpg;617.917;692.956;648.632;212.736;1060.85;673.62;1020.45;197.563
bg05-letter002-f95.jpg;653.787;743.743;810.169;243.038;1123.89;812.044;1203.38;276.985
bg03-magazine004-f41.jpg;780.183;766.32;871.899;347.959;1188.84;778.789;1213.05;338.106
bg04-datasheet002-f136.jpg;1276.38;716.319;476.945;698.052;1238.34;268.869;553.608;251.123
bg03-datasheet001-f83.jpg;855.787;794.837;858.642;297.781;1306.71;785.92;1233.75;292.211
bg02-magazine001-f111.jpg;803.344;731.593;785.99;156.297;1272.55;702.079;1199.2;137.639
bg03-tax002-f41.jpg;819.246;856.757;778.896;231.079;1345.86;805.056;1223.47;193.321
bg03-letter003-f9.jpg;985.27;868.968;834.154;291.487;1422.54;779.222;1224.29;242.417
bg04-paper004-f53.jpg;777.865;254.593;1418.4;338.3;650.59;673.389;1345.53;805.954
bg05-tax001-f10.jpg;787.631;905.368;664.193;264.293;1305.22;794.754;1109.55;199.804
bg02-tax005-f100.jpg;788.43;813.973;696.857;360.199;1189.27;736.677;1042.7;311.553
bg02-datasheet001-f127.jpg;856.417;683.699;892.113;204.824;1336.77;702.371;1282.33;221.115
bg04-datasheet002-f31.jpg;1391.6;799.593;588.81;723.987;1368.79;337.953;682.556;274.961
bg02-magazine003-f108.jpg;757.744;639.937;879.26;206.578;1182.16;718.909;1234.04;268.717
bg01-tax004-f93.jpg;887.468;862.836;697.878;282.988;1345.93;715.456;1100.45;186.906
bg01-magazine004-f169.jpg;475.187;847.265;500.897;162.726;1066.88;812.261;991.644;157.842
bg01-paper001-f140.jpg;905.664;814.542;793.275;252.589;1357.36;735.07;1186.48;203.195
bg05-magazine001-f23.jpg;717.697;885.993;709.023;219.297;1256.29;852.399;1181.6;188.21
bg04-patent005-f79.jpg;1332.57;656.192;660.301;560.55;1379.08;262.972;781.455;205.94
bg02-datasheet002-f115.jpg;834.28;813.817;760.84;230.203;1303.17;748.178;1171.45;189.168
bg05-magazine002-f68.jpg;820.366;837.501;834.996;283.107;1331.77;768.26;1247.84;184.609
bg03-datasheet002-f119.jpg;594.131;821.947;679.264;352.623;1072.84;825.915;1056.28;354.476
bg01-datasheet001-f232.jpg;789.352;821.074;774.154;170.976;1348.57;799.952;1236.56;171.944
bg01-datasheet002-f116.jpg;606.176;798.947;651.865;217.889;1137.02;790.691;1084.76;221.842
bg03-magazine004-f130.jpg;859.609;683.647;828.982;170.423;1303.74;655.55;1211.15;153.461
bg02-tax002-f189.jpg;949.343;749.873;898.048;310.536;1387.11;729.654;1250.34;307.357
bg03-patent004-f180.jpg;795.127;799.087;754.719;249.547;1302.63;742.097;1168.55;214.62
bg05-paper005-f34.jpg;876.423;836.094;854.904;264.546;1364.54;783.757;1268.18;191.289
