filenames;BLx;BLy;TLx;TLy;BRx;BRy;TRx;TRy
bg03-patent005-f119.jpg;829.199;798.702;658.033;268.53;1283.83;678.955;1047.61;209.088
bg01-patent003-f35.jpg;753.156;841.874;685.785;204.357;1288.72;781.208;1136.25;177.194
bg01-tax002-f61.jpg;565.979;828.258;611.209;165.686;1116.08;823.825;1080.96;166.424
bg03-tax005-f132.jpg;826.796;837.397;681.324;337.698;1197.22;762.995;1016.74;321.42
bg03-datasheet001-f204.jpg;907.211;754.744;824.069;220.508;1344.58;695.523;1205.45;187.017
bg02-datasheet004-f128.jpg;977.888;762.934;932.578;264.288;1412.24;734.27;1301.33;243.867
bg01-datasheet002-f38.jpg;893.243;838.947;744.761;222.328;1380.16;744.831;1169.85;182.73
bg01-tax001-f20.jpg;698.926;848.704;706.582;253.423;1191.85;831.069;1130.54;245.105
bg02-magazine004-f20.jpg;754.743;772.747;767.127;312.461;1180.21;772.997;1119.88;322.397
bg03-letter001-f167.jpg;993.105;837.87;886.335;287.262;1397.47;800.783;1241.18;301.109
bg02-tax002-f75.jpg;965.114;732.151;921.742;360.822;1401.92;736.394;1258.92;374.509
bg02-letter002-f24.jpg;808.047;813.284;766.623;300.729;1246.07;774.319;1136.92;287.324
bg03-tax003-f136.jpg;784.532;731.637;891.47;218.986;1239.06;776.894;1283.08;230.883
bg05-paper004-f68.jpg;779.438;888.917;565.886;254.349;1237.19;726.704;995.699;167.822
bg01-paper002-f7.jpg;996.781;844.228;705.84;305.714;1393.21;663.37;1076.42;194.981
bg03-tax001-f13.jpg;827.452;852.408;732.737;161.135;1367.63;780.124;1203.26;138.564
bg02-tax003-f140.jpg;1054.26;732.131;883.245;295.94;1420.88;629.917;1206.49;227.15
bg01-patent003-f167.jpg;704.574;829.167;708.144;223.141;1232.59;803.372;1144.77;215.785
bg04-letter004-f136.jpg;1362.71;898.217;542.655;731.993;1416.67;381.305;692.382;237.764
bg03-magazine003-f83.jpg;853.396;781.724;652.484;278.039;1230.48;664.244;1004.75;221.26
bg03-datasheet004-f41.jpg;981.472;806.05;886.303;230.773;1497.89;754.267;1307.36;211.16
